contradiction || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church has cracks in the ceiling.
entailment || a man and two kids standing in front of an ancient building. || a man is standing with two kids.
neutral || a man with two small boys making a purchase from a woman. || the man brings two little boys with him to buy something from a woman.
neutral || a man with two small boys making a purchase from a woman. || the man with the little boys is buying a gift from the woman's store.
contradiction || a man with two small boys making a purchase from a woman. || the little boys are flying a kite with the man and the woman.
neutral || police officer wearing a brown uniform talks into a wireless microphone. || a police officer is wearing a large helmet.
contradiction || police officer wearing a brown uniform talks into a wireless microphone. || a police officer is silent.
entailment || police officer wearing a brown uniform talks into a wireless microphone. || a police officer is moving his mouth.
contradiction || a small girl in a green shirt plays on a swing. || old lady sitting on a chair.
entailment || a small girl in a green shirt plays on a swing. || girl plays swing
neutral || a small girl in a green shirt plays on a swing. || teen girl plays swing with his friend.
entailment || three women are dancing among the bamboo. || a group of women on the dance floor decorated with bamboo.
entailment || three women are dancing among the bamboo. || a group of men are fencing.
contradiction || three women are dancing among the bamboo. || a group of women dance.
neutral || a man wearing noise-canceling headphones and a breathing mask works on a white sculpture. || a man wearing headphones working on a sculpture of his friend
contradiction || a man wearing noise-canceling headphones and a breathing mask works on a white sculpture. || a man wearing a hat works on his car
entailment || a man wearing noise-canceling headphones and a breathing mask works on a white sculpture. || a man wearing headphones working on a sculpture
entailment || a sculptor wearing yellow headphones is cutting stone. || the man is an artist.
contradiction || a sculptor wearing yellow headphones is cutting stone. || the man is running from the cop.
entailment || a sculptor wearing yellow headphones is cutting stone. || the man is sculpting a piece of art.
contradiction || a man wearing black carving stone. || the man is wearing white.
entailment || a man wearing black carving stone. || a man is wearing black.
neutral || a man wearing black carving stone. || the man is very tall.
entailment || a man has wrecked his racing bike in the dirt with five spectators behind a rope. || a man has damaged something.
